gender,education,age,political_ideology,household_income,marital_status,religion,race
1,3,57,7,16,1,1,1
1,1,76,6,-9,1,1,1
1,5,71,5,16,1,1,1
2,4,58,2,20,1,12,1
2,3,47,5,14,1,11,1
2,4,43,99,5,4,12,1
1,2,22,4,1,4,12,1
1,3,69,4,-9,1,12,1
2,3,62,6,15,1,1,1
1,3,73,6,9,1,2,3
2,4,32,6,1,1,1,1
2,5,30,2,21,1,2,3
1,3,47,4,5,4,12,1
2,4,35,7,19,1,1,1
2,2,66,6,6,1,11,1
2,3,42,2,10,4,12,3
2,4,25,4,8,6,1,1
1,3,31,2,2,1,12,6
2,2,36,99,4,6,11,2
1,4,63,5,20,1,2,1
1,1,54,4,-9,4,2,3
2,2,64,99,11,1,1,1
2,1,62,4,3,1,1,1
-9,3,59,4,-9,1,12,2
1,4,74,6,-9,1,12,1
1,4,48,4,4,6,12,1
2,3,66,2,14,1,6,1
1,1,73,7,10,1,2,1
1,4,30,4,8,6,12,6
1,3,63,7,9,1,1,1
1,2,69,99,10,1,2,2
2,4,61,3,10,1,11,2
1,2,43,7,20,4,11,1
1,4,68,7,10,4,1,1
1,4,58,5,22,1,12,1
1,4,58,7,20,1,2,1
2,3,65,99,11,1,1,1
1,4,78,1,2,6,8,1
1,5,54,6,20,1,1,1
2,4,72,4,10,1,1,1
1,4,69,5,21,6,11,2
1,2,52,4,10,1,3,1
2,3,59,99,1,1,11,2
1,3,30,3,10,6,1,1
2,4,41,5,9,1,11,1
1,4,36,6,16,1,1,1
1,3,80,3,8,1,1,1
1,4,45,4,16,3,12,1
1,2,57,99,6,1,11,5
2,2,70,6,5,4,11,2
2,3,53,5,7,4,1,1
1,4,53,2,20,4,9,1
1,5,51,2,22,1,7,1
1,4,80,99,10,1,1,1
2,2,50,99,2,4,12,3
1,2,57,6,18,1,2,1
1,5,41,5,18,1,1,1
1,4,37,6,17,6,12,1
1,3,76,3,2,4,2,3
2,2,80,99,1,1,1,1
1,3,63,5,21,1,12,1
2,3,80,4,10,1,12,1
2,3,40,2,10,6,11,3
2,1,53,6,14,1,3,1
1,3,37,3,15,1,10,3
2,4,63,6,12,1,1,1
1,2,69,2,8,4,2,3
2,4,29,3,14,1,11,1
1,3,55,3,10,6,11,1
2,3,74,4,5,3,1,1
2,3,63,3,11,1,11,1
2,3,65,99,4,6,1,1
1,3,26,7,9,1,11,1
2,5,63,6,17,1,1,1
1,4,39,4,19,1,1,1
1,3,56,99,15,6,2,1
2,3,28,4,9,6,1,1
2,4,50,2,21,1,2,1
1,5,45,4,22,1,2,3
1,3,35,99,11,6,2,3
2,3,73,4,2,3,1,1
2,2,37,99,3,4,-9,1
2,4,53,5,14,1,2,3
2,3,27,2,15,6,12,6
1,2,45,7,14,1,1,1
2,5,45,1,15,6,11,2
2,3,40,4,1,6,11,1
1,3,32,99,1,6,12,4
1,5,58,7,21,1,1,6
1,3,70,4,3,4,11,2
1,5,78,5,17,1,2,3
2,4,71,6,-9,4,1,1
2,4,58,4,15,4,12,1
2,2,62,5,20,1,2,1
1,4,27,6,22,6,10,1
1,3,23,99,22,6,11,3
2,5,41,2,22,6,10,1
1,4,57,3,6,4,11,5
2,3,45,5,18,1,2,1
1,2,57,99,18,1,11,1
1,2,26,4,10,1,12,1
1,1,66,99,17,4,5,1
2,1,63,2,4,1,11,1
1,3,65,4,15,1,2,3
2,5,63,1,20,1,12,1
2,3,34,4,13,1,11,1
1,4,60,2,6,6,12,2
2,3,50,99,22,1,11,1
2,2,45,6,-9,1,1,1
1,4,34,3,11,6,12,2
2,3,-9,4,-9,3,11,2
1,2,41,2,15,1,2,3
1,4,62,6,19,1,2,1
2,3,46,6,-9,1,2,1
1,5,43,4,22,1,12,1
2,2,80,2,2,3,3,2
2,4,35,3,10,6,10,2
1,2,71,99,10,4,1,1
1,2,31,4,18,1,11,6
2,2,30,6,2,5,1,1
1,5,38,2,17,1,8,6
1,2,67,99,8,3,11,2
2,4,60,99,5,1,11,2
1,3,27,3,4,6,10,3
2,2,67,7,10,4,3,1
1,4,34,2,7,6,10,1
1,4,34,5,21,1,12,1
1,4,-9,6,-9,1,-9,-9
2,3,46,6,19,1,2,1
1,3,43,3,15,1,9,1
1,4,74,7,15,1,11,3
2,3,51,4,11,1,4,1
1,2,51,99,22,1,11,1
1,2,66,6,17,1,3,1
2,5,70,4,15,1,1,1
1,1,70,5,-9,1,12,1
-9,1,-9,99,-9,3,11,1
2,3,66,2,5,4,11,1
2,5,32,2,22,1,10,1
2,3,54,4,11,6,2,3
1,3,23,4,18,6,12,1
2,4,41,99,9,1,1,2
2,2,30,99,3,4,3,1
1,2,43,3,13,6,12,3
2,3,41,7,9,1,1,1
2,4,78,3,17,3,11,2
1,5,55,6,17,1,1,6
2,3,80,4,-5,3,1,1
1,5,58,4,21,1,1,1
1,2,50,6,18,1,10,1
1,3,33,1,10,6,10,1
2,2,24,99,6,6,2,3
1,3,80,6,17,1,1,1
1,2,-9,6,-9,1,-9,1
2,5,48,3,21,1,1,1
2,5,63,1,3,4,11,1
2,5,36,2,22,1,12,1
1,5,-9,4,22,1,8,4
2,3,50,6,20,1,11,1
2,2,62,6,-9,4,11,1
1,4,80,6,17,1,1,1
1,2,66,5,7,1,1,1
1,4,43,1,6,6,9,1
1,3,-9,2,-9,4,12,1
2,5,39,2,21,1,12,1
2,3,71,2,19,4,2,1
2,2,64,6,3,5,5,1
1,2,52,6,16,1,3,1
2,4,36,4,-9,6,12,1
1,3,51,7,15,1,1,1
2,3,56,99,6,1,4,1
1,1,65,4,6,4,2,3
1,3,21,5,6,6,12,1
2,4,41,3,18,1,11,1
1,2,37,2,10,1,11,3
2,5,72,2,13,3,7,1
2,5,42,5,11,6,2,1
1,3,79,4,17,1,5,1
1,4,32,5,1,1,11,1
2,3,43,7,13,6,1,1
2,3,23,1,3,6,10,1
1,3,36,4,17,6,12,2
1,3,60,4,1,4,11,6
1,3,29,5,16,1,1,1
1,2,66,99,3,3,2,3
1,4,78,4,1,1,2,1
1,4,70,3,-9,1,2,1
1,2,80,3,5,6,12,1
1,3,33,6,18,1,9,1
1,5,27,2,9,6,9,1
2,5,61,5,18,1,2,1
1,4,35,5,19,6,10,1
2,2,41,99,-9,1,11,1
1,4,30,3,16,6,2,1
2,2,72,3,1,3,2,1
2,4,33,4,10,1,12,1
2,2,35,6,16,1,11,1
1,3,33,6,8,1,11,3
1,3,74,6,2,1,1,1
2,5,38,3,17,1,11,1
2,3,80,6,2,4,12,1
2,2,46,99,2,6,11,1
1,4,30,99,10,6,11,1
1,4,57,6,-9,1,1,1
2,3,50,6,4,1,2,1
2,2,24,3,1,6,11,2
2,3,80,4,16,3,5,1
1,4,59,6,1,1,2,1
2,2,74,3,5,1,1,1
2,3,39,4,13,1,3,1
2,5,75,1,10,3,12,1
1,4,30,1,22,6,2,4
1,2,-9,6,-9,4,1,1
2,4,80,7,18,1,10,1
1,3,31,1,13,6,11,2
1,1,69,4,6,1,2,3
2,4,56,2,15,6,11,1
1,3,75,6,14,1,1,1
2,4,65,1,3,5,9,1
2,5,29,2,15,6,11,6
2,5,72,6,16,1,1,1
2,3,60,7,5,4,2,3
1,4,25,4,1,6,10,3
2,3,78,6,-9,3,2,1
2,2,60,3,8,1,12,1
2,4,53,6,6,6,2,1
2,4,66,3,-9,1,12,1
2,5,35,6,1,1,8,4
1,3,61,6,-9,1,1,6
2,3,46,6,6,6,11,2
2,4,70,5,10,1,1,1
2,3,78,6,-9,4,1,1
2,2,63,99,4,3,11,1
2,3,40,6,-5,1,1,1
2,5,51,2,20,6,1,1
2,4,-9,6,10,1,1,1
1,4,41,3,18,1,12,1
2,3,80,6,16,1,1,1
2,4,25,4,19,1,2,1
2,2,41,5,14,1,11,1
2,5,29,2,9,1,12,6
2,5,57,2,22,4,11,1
1,2,51,4,8,1,11,2
1,5,31,6,15,1,1,1
1,4,58,99,15,1,11,2
1,3,53,4,1,4,1,3
1,1,45,99,18,1,7,4
2,4,54,4,21,1,5,1
2,5,55,4,17,3,11,1
1,3,76,6,-9,1,1,1
1,4,53,6,7,1,1,1
2,3,56,4,1,5,2,3
2,5,49,2,22,1,1,1
1,2,-9,5,11,1,1,1
1,5,55,3,10,6,1,3
2,5,72,3,16,1,2,1
1,2,57,5,10,1,12,5
2,3,30,3,13,6,12,3
2,3,37,4,20,1,12,1
2,2,74,4,-9,1,1,1
1,3,38,2,18,4,9,1
1,4,68,6,18,4,1,1
2,3,75,5,12,4,10,1
1,4,71,2,15,1,12,1
2,2,68,6,13,1,1,-9
1,5,32,1,21,1,10,6
2,3,50,2,17,4,9,1
2,3,65,6,-9,4,2,3
2,4,35,1,19,1,12,2
1,5,26,3,9,6,11,1
1,5,37,2,17,1,11,1
2,3,78,7,6,1,1,1
1,3,42,6,1,6,3,1
1,5,42,6,19,1,1,1
2,1,71,99,3,6,1,1
2,5,58,99,1,4,1,1
2,3,57,4,1,6,11,2
2,5,61,1,11,6,7,1
1,5,37,5,18,6,2,1
1,5,49,5,20,4,2,3
2,1,80,4,-9,3,1,-9
2,2,34,4,6,6,11,3
2,4,71,2,7,3,2,3
1,5,42,6,19,1,2,1
1,4,62,6,20,1,2,1
2,2,63,6,5,1,1,1
2,4,27,1,11,6,7,1
2,2,38,3,7,5,11,2
1,3,33,6,17,1,12,1
1,4,63,6,7,1,1,1
2,3,38,4,7,6,10,1
2,4,72,6,20,1,1,1
2,5,26,2,13,6,10,1
1,2,35,4,10,6,12,1
2,3,61,6,9,4,11,1
2,2,58,4,2,3,11,1
1,3,39,99,2,6,1,1
2,5,54,99,20,4,2,4
1,3,52,6,17,1,11,3
1,3,69,6,11,1,1,1
2,3,60,4,4,4,10,1
2,3,67,3,14,4,2,1
2,3,47,1,11,1,9,1
1,3,67,5,6,1,1,1
1,3,57,2,12,1,2,1
2,4,31,2,22,1,10,1
2,5,73,4,3,1,1,1
1,2,70,6,4,1,11,3
2,2,80,6,3,3,1,1
1,3,61,99,8,6,2,1
2,5,41,4,19,1,1,1
2,2,68,2,13,4,1,1
1,4,32,3,9,6,11,2
2,3,65,4,11,4,2,3
1,5,28,2,3,6,1,1
1,4,33,4,1,6,1,2
1,3,30,6,10,1,3,1
1,2,64,7,2,5,2,1
1,2,61,6,14,1,11,1
2,4,49,3,15,1,1,1
2,2,62,4,10,3,12,1
1,2,39,5,2,1,11,3
2,4,-9,4,1,6,1,2
2,5,66,6,15,1,7,4
2,4,62,2,1,6,12,6
1,3,80,99,13,1,1,1
2,4,62,99,-9,6,3,1
1,3,47,6,-5,1,11,1
1,1,42,99,1,6,12,2
2,4,34,4,4,6,11,1
2,4,-9,5,20,1,2,6
1,3,60,6,-9,4,11,3
2,3,54,5,16,1,11,1
1,2,35,1,2,6,10,1
2,-2,73,7,15,1,1,1
2,2,80,6,-9,1,1,1
1,4,64,6,20,1,11,3
1,4,32,6,21,1,1,1
1,2,56,99,10,1,12,3
1,3,68,6,19,1,12,1
1,4,67,6,11,1,1,1
1,4,67,6,-9,1,1,1
2,2,72,4,6,3,11,1
1,3,58,6,14,1,1,1
2,2,57,99,22,1,2,1
2,4,39,1,20,6,7,6
1,4,23,2,11,6,2,3
2,2,63,7,6,4,1,5
2,4,-9,6,20,1,4,1
1,4,37,2,18,4,10,1
2,3,69,6,7,1,11,1
2,3,42,7,8,1,1,1
2,3,66,99,-9,6,2,3
2,5,69,3,12,1,12,1
1,4,72,2,21,1,2,1
2,4,38,4,6,1,11,1
2,5,66,2,11,1,11,2
1,5,58,6,18,1,1,1
1,2,27,4,9,6,2,3
2,4,28,2,14,6,10,1
1,3,50,3,21,1,10,2
2,4,25,2,8,6,7,1
1,4,53,2,22,1,9,1
1,4,80,3,13,1,2,1
-9,4,-9,99,-9,4,1,-9
2,2,70,6,10,3,2,1
2,2,64,99,6,1,12,1
2,3,59,3,1,3,1,1
1,2,77,6,10,4,12,1
1,4,49,2,8,1,10,1
2,4,51,6,1,1,12,1
2,3,69,6,22,1,4,1
1,3,69,4,-9,1,4,1
1,3,30,1,3,6,1,2
1,5,31,1,22,1,9,1
2,4,26,4,1,6,2,3
1,4,68,7,19,1,2,1
1,2,67,4,4,6,12,1
1,4,46,3,20,1,10,3
1,5,40,4,22,1,2,3
1,2,23,5,1,6,2,1
1,4,72,6,19,1,2,1
1,3,38,3,17,1,1,1
2,5,76,7,16,1,11,1
1,3,73,99,11,1,12,1
2,4,34,3,21,1,2,1
2,3,36,3,10,6,11,1
1,3,80,6,9,1,2,1
1,3,76,6,10,1,1,1
2,4,66,4,19,1,2,1
1,2,74,99,4,4,1,1
2,5,44,5,17,1,12,1
2,3,30,1,7,6,9,1
2,3,61,99,10,4,11,1
2,2,79,4,1,3,10,4
1,2,23,5,16,6,11,1
1,2,38,1,6,4,12,1
1,5,75,2,14,1,2,1
2,3,29,4,9,1,11,1
2,3,33,3,11,1,2,1
1,3,59,3,1,5,11,1
1,1,72,99,2,5,1,1
2,5,49,4,17,1,1,1
2,3,52,99,5,6,11,1
2,4,52,6,20,1,-9,1
2,3,41,2,19,1,10,1
2,5,-9,2,18,6,11,2
1,4,52,5,10,1,10,3
2,5,67,3,2,3,11,1
1,3,53,5,11,1,12,1
2,5,34,3,21,1,11,5
2,2,71,99,1,1,12,1
1,3,28,4,13,1,11,1
1,4,66,6,2,4,2,1
2,2,69,4,9,1,1,1
2,3,46,2,10,5,11,1
1,3,42,99,14,1,11,1
2,1,24,99,1,6,11,6
1,4,53,6,20,3,1,1
1,4,47,4,10,1,7,4
2,4,41,1,20,1,11,1
2,4,80,4,11,1,9,1
2,3,72,5,4,1,1,1
2,3,31,2,19,1,12,1
2,3,21,1,6,6,10,1
1,4,42,3,10,1,10,1
2,5,40,3,22,1,11,1
2,-9,80,99,10,3,1,2
1,3,76,4,15,1,1,1
2,5,71,2,21,1,11,1
1,5,38,2,19,6,9,1
1,3,33,4,5,6,11,1
2,5,41,2,13,1,11,1
2,3,62,4,2,4,11,1
1,2,73,7,14,1,1,1
2,3,28,4,20,6,12,1
1,2,21,99,10,6,11,3
2,2,64,99,1,4,11,1
2,3,58,7,-9,1,1,1
1,2,26,2,4,6,11,2
1,2,23,6,19,6,12,3
1,5,61,2,15,1,1,1
2,2,50,1,16,1,12,1
1,5,67,1,20,1,5,1
2,2,35,6,19,1,11,1
2,3,68,99,21,1,1,1
2,3,61,6,17,1,1,1
1,5,32,1,13,4,1,1
1,1,78,7,11,1,11,1
1,3,65,3,10,3,11,1
2,3,19,2,12,6,11,1
2,3,25,2,5,6,11,6
1,3,75,7,10,1,1,1
2,1,32,99,1,1,11,1
2,4,29,1,-9,6,12,5
1,4,74,6,6,1,2,1
2,1,70,99,1,6,11,2
2,1,57,7,1,4,2,1
2,2,80,2,5,1,1,1
2,5,38,6,21,1,1,1
1,3,21,6,16,6,4,1
1,3,71,6,11,1,1,1
2,5,46,2,17,4,10,1
1,3,72,5,14,1,2,1
2,3,62,5,10,4,11,1
1,5,40,2,20,1,1,1
1,5,50,2,18,1,8,4
1,5,43,3,10,4,12,1
2,1,59,2,10,4,1,1
2,3,27,4,21,1,9,1
2,4,36,3,8,1,9,1
1,3,31,6,7,1,2,1
1,1,22,6,17,6,3,1
2,3,66,99,13,3,1,1
2,5,44,2,21,1,2,1
2,2,72,3,7,3,1,1
1,2,31,4,10,6,12,3
1,3,67,4,5,1,11,5
1,2,65,99,6,1,1,1
2,5,71,6,18,1,1,1
2,5,-9,4,15,-9,-9,3
1,5,42,2,18,1,9,1
1,4,49,99,19,1,1,1
1,3,59,4,3,6,10,1
1,4,67,2,8,6,11,1
1,5,77,1,22,1,5,1
1,5,36,3,19,1,2,1
2,4,61,4,20,4,1,3
2,3,66,7,1,4,1,1
2,5,41,99,22,1,10,1
2,3,64,7,9,3,2,1
2,3,37,4,11,6,12,2
2,4,80,99,21,4,2,1
2,1,72,5,10,3,12,1
1,3,37,4,5,6,11,2
2,5,43,5,22,1,5,1
1,4,28,5,12,6,12,3
1,4,36,5,12,1,1,1
2,4,23,6,11,1,11,1
1,5,77,3,22,4,1,1
1,3,73,4,13,1,1,1
2,3,45,6,6,4,11,1
-9,2,27,5,5,6,3,1
1,3,-9,4,-9,1,1,1
1,4,38,4,22,1,2,1
2,4,51,3,21,1,2,1
2,4,30,5,10,1,11,1
2,4,80,5,13,3,2,1
2,3,58,7,6,4,10,1
1,2,72,2,14,1,12,2
2,4,26,4,17,1,10,1
2,1,-9,3,-9,4,2,1
1,2,57,2,10,4,9,1
2,3,37,4,19,1,11,1
1,4,39,4,19,6,1,1
1,1,54,99,1,1,7,2
2,3,33,5,19,1,2,1
2,2,64,6,6,1,1,1
2,4,72,1,8,4,1,1
1,1,61,6,-9,1,12,1
2,3,60,2,19,1,12,1
1,3,73,4,15,1,12,1
2,5,59,6,12,4,1,1
1,3,37,6,15,1,1,1
1,4,48,2,10,6,12,1
2,4,58,3,13,1,1,1
2,5,59,4,18,1,2,1
2,2,64,99,1,5,12,1
1,4,71,6,1,1,2,4
2,-9,76,2,-9,-9,12,3
2,3,32,4,10,1,11,2
1,1,39,4,8,1,12,3
1,3,64,2,17,1,1,1
1,4,69,3,16,1,1,1
1,4,38,6,15,1,11,1
2,3,68,4,1,1,2,1
1,4,40,3,17,1,11,1
2,3,30,3,1,6,12,3
2,4,30,2,18,1,5,1
2,2,64,99,18,1,11,1
2,3,69,7,4,4,1,1
2,2,62,1,6,3,12,1
2,3,22,99,3,6,12,3
1,3,53,6,5,1,3,1
1,2,53,6,20,1,4,1
2,3,39,6,16,1,11,1
2,3,41,3,16,1,1,1
1,5,64,3,21,1,5,1
1,2,66,2,8,1,1,2
1,1,64,4,15,1,2,1
2,3,53,6,15,3,1,1
2,4,70,99,11,3,2,1
2,5,55,99,18,1,1,1
2,3,53,7,-9,3,1,2
1,2,38,4,4,1,12,1
2,3,35,4,6,6,11,3
2,3,37,4,6,4,12,1
1,4,50,4,21,1,11,2
1,3,56,5,10,1,12,1
1,2,43,2,4,6,1,2
1,3,27,99,4,1,11,3
2,5,36,2,13,1,11,1
2,3,51,4,14,1,1,1
2,3,37,5,20,1,12,1
2,5,52,2,20,4,1,1
1,1,61,2,14,4,2,3
2,5,42,2,19,1,10,1
2,2,69,4,6,1,11,1
2,3,80,99,1,1,1,1
1,1,80,99,-9,1,11,-9
-9,-9,-9,4,-9,-9,2,-9
2,4,56,6,17,1,1,1
2,5,35,3,21,1,10,1
1,5,55,5,21,1,1,1
1,2,47,5,20,1,11,1
1,5,80,3,17,1,1,1
2,3,50,4,4,6,11,5
2,3,61,4,13,4,11,2
2,4,43,4,16,1,1,1
2,4,50,4,13,6,1,1
2,3,53,4,8,6,11,2
2,3,59,5,10,1,2,3
2,5,69,4,10,1,2,1
1,2,39,99,1,1,12,3
2,2,60,5,22,1,12,1
2,4,47,7,19,1,1,1
1,3,50,99,2,6,10,1
2,2,80,6,10,1,11,1
1,2,57,5,11,1,2,1
1,5,34,3,20,6,12,3
2,3,59,6,9,1,1,1
2,4,80,6,-9,3,1,1
2,3,63,99,10,4,11,1
1,4,36,3,5,1,10,1
1,4,31,5,21,1,1,1
1,4,76,6,6,1,1,1
2,2,61,6,15,4,1,1
1,4,63,6,13,1,2,1
2,4,51,4,19,1,1,1
2,4,40,2,20,1,12,1
2,4,46,2,15,6,11,1
1,4,48,5,-9,1,2,1
1,4,45,2,17,1,12,1
1,4,50,4,19,1,2,1
2,3,62,6,20,1,11,1
1,2,24,99,2,6,2,1
2,5,67,3,19,1,12,1
2,3,48,99,1,4,12,1
2,1,39,99,2,6,11,2
1,3,25,99,8,6,11,3
2,5,69,2,14,1,1,1
2,3,25,99,6,6,1,2
2,5,66,6,15,4,1,1
1,3,61,99,15,1,11,3
1,5,62,2,21,1,5,1
2,3,38,6,13,1,2,1
2,2,24,5,1,6,12,1
1,5,80,6,21,4,5,1
1,4,32,7,10,1,1,1
2,4,64,7,12,1,1,3
1,4,74,6,12,4,10,1
1,3,30,99,1,6,12,2
2,4,63,99,17,1,12,2
2,5,41,2,15,1,12,1
2,3,67,4,-9,1,1,1
1,5,72,3,17,1,2,1
1,4,22,3,21,6,2,1
1,2,45,1,10,6,12,1
2,3,52,4,4,6,11,2
1,3,39,7,10,4,11,4
2,4,44,3,14,1,2,3
2,4,37,6,15,1,1,1
1,2,39,7,18,1,11,1
2,4,54,4,13,4,5,1
1,1,73,6,5,1,12,1
1,4,-9,6,-9,1,1,3
2,3,56,7,15,1,1,1
1,2,60,99,5,6,11,1
2,2,29,2,9,4,12,3
-9,4,-9,6,9,4,12,-9
1,4,65,6,19,1,2,1
2,3,49,6,17,1,2,1
1,2,80,3,16,1,2,1
2,5,80,4,9,4,1,1
2,4,58,4,20,1,2,4
2,4,50,4,1,1,2,4
2,3,42,1,8,6,12,3
2,5,57,2,21,1,11,3
1,5,38,2,21,1,9,1
1,4,56,6,12,4,1,1
1,5,47,4,20,1,1,1
1,4,31,4,19,6,2,3
2,3,27,2,11,6,2,3
2,4,25,6,16,1,2,1
2,3,-9,2,-9,4,11,1
2,2,49,4,6,6,2,1
2,4,35,7,17,1,11,3
1,3,62,3,12,1,9,1
1,4,33,3,16,1,12,1
2,3,49,2,13,6,2,1
2,3,64,99,5,1,2,1
1,5,38,6,21,1,11,3
2,4,-9,6,20,1,2,1
-9,4,-9,3,-9,-9,1,1
2,3,30,3,12,1,12,1
1,4,36,6,18,1,1,1
2,2,80,6,6,3,1,1
2,3,42,4,18,1,2,3
2,3,76,3,9,4,1,1
2,4,37,6,11,6,11,1
1,4,49,5,18,1,1,1
1,4,27,1,5,6,11,5
2,3,73,99,4,3,1,1
2,5,80,2,-9,1,5,1
1,3,35,6,17,1,12,1
2,3,59,99,17,1,11,1
2,2,62,6,15,1,2,1
1,2,38,7,1,6,11,2
2,3,75,99,5,3,12,1
-9,3,62,4,-9,4,12,1
2,2,51,6,6,1,2,1
2,3,24,99,1,6,6,5
2,4,73,5,16,1,2,1
1,4,72,6,6,3,1,1
2,2,79,6,6,4,1,1
2,3,41,2,21,1,2,3
2,4,24,4,5,6,11,1
2,3,35,7,1,1,1,6
1,3,54,4,16,1,11,5
2,4,42,5,3,1,2,1
2,5,32,4,20,1,2,1
2,1,61,5,7,1,2,3
2,2,29,99,6,6,1,1
1,5,61,2,22,1,5,4
2,5,41,2,22,1,9,1
1,2,62,4,10,4,11,3
1,4,72,5,10,1,1,1
2,3,52,5,1,4,2,1
1,5,77,2,13,1,1,1
1,1,49,6,10,6,12,1
2,5,25,2,18,6,12,1
1,4,77,7,15,-9,2,1
2,3,31,2,19,1,2,1
2,3,-9,99,20,1,2,1
1,3,28,5,17,1,2,1
1,4,26,3,1,6,2,1
2,3,32,6,1,6,11,1
1,4,78,6,13,3,2,1
2,5,45,3,2,6,10,1
1,5,58,3,21,1,10,4
1,3,34,7,-9,1,1,1
1,2,56,4,3,1,11,1
1,4,80,99,13,1,2,4
1,1,27,99,2,5,2,1
1,2,40,1,10,1,12,6
1,2,39,2,7,1,12,1
1,3,75,6,15,3,2,3
1,3,50,3,20,1,12,4
2,3,34,99,15,1,4,1
2,4,39,5,18,1,2,3
1,3,23,6,10,6,11,1
2,4,70,1,13,4,1,1
2,5,56,4,11,4,10,1
1,4,36,3,18,1,12,1
2,5,46,2,21,1,2,1
1,2,25,99,4,6,1,4
1,2,52,6,22,1,1,1
2,4,31,3,18,1,2,1
1,5,49,4,20,1,7,4
2,3,30,4,4,1,1,2
1,4,73,5,8,4,1,6
2,2,66,4,2,1,2,1
2,3,35,4,22,1,12,1
2,3,61,7,10,1,2,1
1,4,79,6,20,1,1,1
2,5,41,3,22,1,5,1
-9,-9,-9,4,-9,1,-9,-9
2,-2,54,4,19,1,1,1
2,3,22,3,11,6,1,1
1,3,22,4,21,6,12,1
1,5,46,2,20,1,11,1
1,4,41,3,19,1,12,6
2,3,64,99,11,1,1,1
2,5,71,3,-9,1,1,1
2,2,76,5,10,1,2,1
2,5,36,6,21,1,12,1
1,5,27,2,10,6,2,1
1,4,54,2,22,1,9,1
1,4,27,5,19,1,1,1
2,3,52,99,2,6,11,2
1,1,50,4,10,4,2,3
1,3,73,6,7,3,1,1
1,5,62,4,10,4,6,5
2,5,41,4,15,4,11,2
2,5,34,3,15,1,11,1
1,3,36,3,19,1,9,1
2,3,64,7,2,4,11,1
1,3,53,4,16,1,3,1
2,4,40,6,18,1,1,1
2,4,68,6,19,5,1,1
2,4,73,4,5,4,2,1
1,4,67,2,11,1,1,1
1,3,40,5,11,6,10,4
1,2,62,6,11,1,12,1
1,4,35,2,21,1,2,1
2,4,72,2,-9,4,1,1
1,2,71,99,11,4,1,1
2,2,56,99,10,1,11,1
1,2,41,4,10,1,1,1
1,5,24,2,22,6,10,6
2,3,67,99,11,1,1,1
2,5,72,1,12,4,11,2
1,4,70,2,14,6,1,1
2,5,30,3,21,1,3,1
1,4,59,4,8,1,1,2
2,2,61,4,18,4,11,3
1,4,63,7,2,6,1,1
1,3,24,99,10,6,10,1
1,4,34,4,6,6,11,1
2,3,34,4,13,6,11,3
2,3,38,4,6,6,11,2
2,3,78,2,7,3,5,1
1,3,62,5,19,6,2,1
1,3,61,4,3,1,11,1
2,4,44,4,8,4,7,1
2,1,79,3,3,3,1,1
2,2,62,4,17,1,4,1
1,3,72,7,8,1,1,1
2,3,73,7,5,4,2,1
1,3,77,99,18,3,1,2
1,4,29,2,20,6,10,1
2,3,51,99,7,1,11,4
1,4,70,3,19,4,1,1
1,5,70,2,13,1,1,1
2,5,67,2,21,1,11,1
2,3,44,7,13,1,11,1
2,-2,73,2,10,3,1,1
2,1,65,99,1,5,11,2
1,4,56,7,19,1,1,1
1,2,60,99,1,4,1,1
1,3,47,2,2,6,12,3
1,5,49,2,22,1,12,1
2,-2,43,7,16,1,1,1
1,1,62,6,18,4,1,1
2,3,61,6,20,1,1,1
2,5,44,99,20,1,11,3
2,3,25,99,9,6,11,3
1,2,43,99,10,1,2,1
1,3,54,5,22,4,1,1
1,4,31,3,1,6,11,2
1,5,60,3,1,1,1,1
1,4,35,5,1,6,2,1
2,5,47,4,1,1,2,1
1,5,80,7,16,1,1,1
2,4,54,3,15,4,2,1
1,3,28,5,15,6,9,1
2,2,60,2,15,1,1,1
1,4,63,1,5,1,9,1
2,2,69,6,10,4,11,1
-9,4,-9,2,-9,3,12,1
2,3,62,3,1,6,1,1
2,3,-9,99,2,4,12,1
2,3,41,2,8,4,2,3
2,3,55,2,9,1,11,2
2,5,33,2,21,6,12,1
1,3,21,99,10,6,6,1
1,3,36,6,21,1,2,1
2,5,43,4,22,4,2,1
2,4,63,4,22,1,11,1
1,2,45,3,4,4,11,1
-9,3,37,3,-9,4,2,1
1,2,32,7,22,6,12,1
2,3,42,2,1,6,11,1
2,3,64,2,6,3,1,1
1,1,35,4,18,1,12,1
1,2,34,99,17,6,11,2
1,3,48,6,19,1,2,1
2,3,39,2,18,1,12,4
1,2,59,4,11,1,2,3
2,3,69,2,2,6,11,2
2,2,51,99,-9,6,11,5
2,2,80,6,3,3,2,1
2,5,48,3,17,1,2,1
1,3,32,2,4,6,10,1
2,4,52,99,1,4,1,1
2,5,-9,4,-9,1,1,1
2,3,54,99,19,4,1,1
1,5,72,5,21,1,1,1
1,3,64,6,8,4,1,1
2,3,60,5,2,4,2,1
1,3,59,4,4,6,12,1
2,4,51,7,15,1,1,1
1,5,39,2,19,1,12,3
2,2,24,99,1,6,5,6
2,1,80,7,10,1,2,1
1,2,44,5,6,4,11,2
1,4,67,99,3,5,6,2
2,5,-9,4,14,1,1,1
2,4,52,6,11,1,6,3
2,5,41,3,20,1,5,1
1,4,69,2,8,6,9,1
2,5,71,2,14,6,10,1
1,3,61,4,1,4,12,5
2,5,28,2,15,1,2,1
1,3,43,6,8,6,2,1
